Ly6C,B220
122.415,5114.62
328.001,91.865
487.687,359.119
377.326,5958.07
265.263,1792.37
2929.82,3286.14
220.251,2227.87
13601.5,9786.28
123.057,7289.85
176.796,8212.13
954.793,5980.84
11143.1,63.2653
649.773,183.99
10192.3,224.848
136.516,4281.01
145.413,3087.34
246.623,4920.49
285.14,9900.65
175.534,6356.57
21185.7,5760.51
180.007,1214.65
38166.5,137.928
31146.2,407.047
-47.7922,7376.52
67.7733,3770.87
13493.5,184.058
6532.64,111.277
15010.1,134.31
-113.376,6626.79
58.849,2891.3
209.657,268.102
1653.75,692.239
57.1978,10539.9
22382.5,140.089
947.617,121.717
92.1008,5576
154.626,6770.31
257.493,145.364
161.034,5701.36
105.586,2829.23
204.085,5380.01
310.297,6166.47
120.163,5251.02
20421.7,237.622
14476.8,87.3081
419.818,6059.64
9617.81,-48.62
157.885,7367.54
122.359,3160.22
95.9254,6737.45
467.841,3498.62
135.405,6192.27
618.019,3056.83
379.562,8037.39
10336.2,313.885
195.319,5184.45
12047.1,664.037
49.6624,4430.9
106.13,6698.32
203.778,6588.05
231.906,5365.62
18890.5,-138.891
22.4512,2196.62
17947.1,139.242
385.572,4868.8
30.8723,4162.39
22.0734,3872.54
1460.41,5408.73
26699.8,78.0145
480.674,3813.46
132.955,5915.68
16885.5,509.503
1948.47,195.453
223.632,3675.26
719.766,248.248
395.886,5254.33
350.13,86.0158
163.803,6926.97
157.786,41.4978
243.366,3828.65
295.619,5303.76
1063.7,12378.3
198.757,7085.3
151.679,8403.48
76.4855,4103.65
1855.12,250.337
29.3993,17056.9
317.275,3080.17
166.377,6732.94
9608.98,229.886
209.343,4091.61
5.00786,5723.68
1877.35,107.48
278.753,6173.08
559.725,306.593
253.743,3943.02
289.159,3652.26
676.845,6803.51
-82.3824,2344.42
18294.8,57.3269
226.154,3836.99
40668.3,107.382
270.155,7212.24
204.3,5645.97
120.149,4918.36
194.696,4113.38
254.093,8102.93
477.84,-57.343
167.778,6227.26
221.924,5051.32
710.309,7052.85
23706.7,117.436
153.676,4823.81
129.716,6580.78
443.692,5064.38
247.557,4403.85
450.47,389.976
143.413,7403.39
115.661,4539
446.677,6918.43
93.9906,5249.68
187.325,379.126
296.273,8825.64
123.449,6777.52
61.4604,6942.65
193.436,5409.34
168.772,3073.76
8478.25,297.894
31579.9,214.153
28280.4,307.998
