Ly6C,B220
1337.91,91914
629.991,75606.4
2454.45,51662.8
517.325,70460.1
4251.03,135783
107212,792.676
1643.87,10635.1
765.829,53760.1
8305.56,74287.8
1664.39,101800
1741.65,19595.4
2025.7,131114
4426.42,64042.6
1314.27,71509.9
111277,1691.65
161515,4150.86
41.6945,100631
1072.67,78851.8
1163.67,82087.6
1956.84,84291.4
159931,6418.77
951.796,81867.1
601.217,56657
590.532,65326.9
588.495,80140.7
409201,1293.71
1108.49,70253.4
1581.45,52686.9
3833.45,11809.4
213763,3468.51
271.471,59678.8
984.784,49437.1
39254.9,2343.14
1392.33,52470.5
883.328,40780
4521.15,210359
4382.22,4832.01
7091.66,76293.3
3519.98,64351.3
726.364,78086.5
4306.2,67982.8
3721.02,69645
875.656,81915.6
2224.2,57557.2
885.027,62008.3
1341.05,94962
981.399,63111.5
1806.03,65081.1
4437.69,5465.86
1077.35,94070.1
553.277,70155.1
71410.6,6818.6
2884.2,66861.1
606.317,87442.8
213022,2390.8
3642.59,50432.7
8485.96,9974.68
1883.6,69060.8
21684.6,34019.3
115.195,32851.4
1109.95,47228
172933,3375.88
4079.1,26148.4
375.994,54752.5
2945.45,192949
9728.69,1808.85
1150.5,72088.8
4607.78,109355
1118.07,864.181
166589,3251.15
969.714,72319.3
3857.9,32879
903.198,88892.1
215079,1541.65
34613.2,107.713
100337,3491.11
2685.76,11432.6
634.465,38016.1
514.734,85523
1886.06,64146.3
1462.78,66296
2255.55,40739.2
12959.6,112508
1584.3,57402
858.855,45237.5
833.433,66223.8
127480,2303.32
578.091,172313
2190.96,35598.2
856.59,62791.8
3240.86,66919.7
744.867,60293.1
1636.22,83639.3
58752.6,3793.12
1665.12,27325.4
9036.21,10148
165667,2888.4
2543.68,5869.54
1319.21,65020.3
4566.75,87640.9
728.21,65301
1894.05,45424.2
2635.04,67449.6
159544,4465.03
2632.34,101795
4498.56,2166.46
1148.58,55699.9
2871.34,9674.42
1339.94,4787.37
3122.9,93516
1019.82,50099.5
1315.02,50937.2
1318.76,74426.1
1103.78,32114.7
957.264,47555.9
1347.95,2844.54
636.953,75367.7
2436.34,81917
181749,12876.3
4645.47,64002
811.124,80843.5
41430.9,4553.95
2279.55,8937.33
692.739,57657.5
1482.91,71916.4
1233.65,52964.6
926.706,52561.1
1217.11,60538
2017.82,24531.9
743.943,53640.2
1740.46,127770
677.833,52008.8
196526,995.962
2186.44,43652.1
1912.4,81541.7
878.417,53293.2
39846.2,4560.31
74316.4,6496.42
6679.04,151900
911.37,130311
1006.72,90338.5
1169.16,1873.79
1094.86,49562.6
1396.46,65790.5
1477.58,68830.6
1587.66,73562.7
1211.22,75437.2
14646,138561
2696.91,97010.1
747.76,77983.9
1498.65,96025.9
1109.09,66073
1257.37,76057.7
4855.41,14645.2
1921.08,2476.43
664.675,77226.5
144883,4334.06
28239.5,3414.08
1063.24,82308
2961.94,87957.6
1063.82,57122.5
2515.76,49689.2
942.835,80968.6
2596.26,19678
1280.47,57244.5
759.734,70275
173.418,55198.7
1707.33,106042
785.039,5963.85
2862.44,73142
23770.9,2860.47
499.646,87983.3
709.022,55740.6
88865.4,1074.41
337556,3742.46
21611.2,2188.82
235673,9238.7
4270.96,5729.32
5159.12,4811.43
6282.07,108027
1397.68,45031.2
1153.78,94060.2
1810.2,8996.69
73766.7,11917.3
673.712,82998.4
180569,5181.01
10517.4,73110.1
94500.3,5874.54
1713.51,95117.1
1231.24,63873.3
1616.31,59285.3
1339.8,73138.3
1054.73,86310.3
783.07,39655.4
950.894,46264.2
3122.19,73586.6
3836.76,139999
1691.24,64418.6
520.018,60325.1
4111.37,75288.6
991.316,33864.1
1181,96605
65005.5,4000.81
474.354,3042.32
896.448,43614.7
893.901,49326.5
6672.78,2962.14
27087,59718.5
95293.9,8335.9
1504.65,92674
7006.91,3405.81
3029.61,72109.5
168070,1274.8
8682.13,3080.14
207665,4586.6
2067.79,86659.5
1355.53,84648.8
1669.13,1957.81
2171.32,76165.7
12641.2,7600.22
1488.64,66579.9
355.393,66289.8
1992.79,190051
3350.39,5194.33
1138.14,40326.3
719.502,62980.5
159312,1624.44
1010.02,64650.7
6728.98,6155.67
3239.1,47961.1
11377.5,3981.6
728.837,42175.5
1908.86,94471.3
3898.31,6709.44
2561.09,8530.06
3102.2,20989.3
379.629,74272.3
3893.64,75417.3
1355.79,50582.5
5042.42,80375.1
807.677,86353.7
1629.69,33945.4
2664.35,130359
1722.59,66509.6
1322.08,9532.98
173799,1686.14
262.781,63939.7
713.306,62165.8
44638.1,2847.86
1029.9,89640.7
1336.7,94582.4
2892.57,69185.7
2564.16,81370.2
1068.25,114908
17273.4,10518.1
953.765,75379.2
2325.24,151149
1316.22,38769.9
1137.26,6646.05
1383.36,29692.9
4332.19,10081.2
1354.8,46353.9
226.349,53448.5
1387.68,58791.7
450.099,66371.1
1224.48,60775.7
1559.78,115059
449.008,57550.9
690.689,53490.1
83043.8,1958.42
541.363,68458.9
289148,7660.6
47616.3,5646.41
1917.9,73491.6
154572,3084.87
3163.13,100254
7326.14,5125.95
3414.93,3691.22
1010.09,51251.8
207.665,32531.4
52049.2,5292.04
247.014,61541.2
86636,5379.09
382.538,57605.1
631.159,88519
1346.14,4270.79
2226.3,128683
999.762,158628
1123.63,2419.67
2845.19,119581
1615.89,3681.14
1045.61,64152.6
2362.35,54923
4340.98,3136.83
1821.6,36446.4
1084.38,68629
899.97,78724.3
2881.28,43659.4
99807.1,2534.85
3494.52,56553.4
1150.13,47110
807.703,30301.1
178524,4321.39
1520.92,78083.3
448.518,49013.1
868.987,80583.1
938.781,56241.4
1272.91,2467.57
756.951,50084.6
1545.94,89504.9
701.064,96784.1
48571.6,8474.13
1453.26,108432
1433.19,96734.4
57345,12939
4345.77,4146.52
112745,4248.1
187804,3270.82
940.108,11414.4
1025.64,47795.1
4343.94,124538
1993.81,1654.31
785.616,42505.7
63763.7,2387.61
59557.7,1392.24
911.035,74523.5
218689,5792.26
1079.04,65591.6
2718.08,78634.7
1620.77,70992.8
876.293,49982.1
1437.15,81858.2
1386.9,2395.45
958.442,56075.6
86936.5,1416.25
98682.1,1373.97
1102.71,80204
1135.94,69503.4
2003.9,1647.82
2198.22,62169.3
1439.84,2809.01
1168.23,54070.4
497.522,41322.3
228357,1447.68
204449,3330.82
59182.2,1183.1
135151,2468.73
106919,4861.39
988.037,60175.4
16094.8,13728.3
8842.68,11348.2
1622.94,117356
1703.14,102743
814.569,41629.8
69858.4,1548.46
1659.88,73565.3
842.61,101645
679.042,59085.1
144780,5273.48
102512,1160.69
1397.82,69522.7
1228.43,55292.9
1380.1,51187.2
924.637,84972.6
435.604,70617.9
1932.79,9586.95
98340.4,4337.93
8052.05,6874.94
981.688,87787.8
132558,2606.77
8524.14,85469.9
3281.92,70827.3
1390.87,65597.9
1125.28,54952.8
4442.42,5148.48
4870.96,72374
1285.13,57142.3
1502.46,62386.2
51043.9,3374.18
2795.8,53169
1181.47,66698.8
125345,1340.9
1723.07,56981
197095,11570.6
3611.9,5621.75
2115.33,60023.5
3984.79,54008.5
837.138,87165
2464.09,77807.6
867.437,57579.5
8830.39,108493
3150,66731.5
195868,4417.24
2743.67,82597.7
174102,2060.94
1586.4,59571.2
6619.63,79905.4
1363.79,72946.5
